TenDiaDanh,DiaChi,NoiDung,ImageURL
Di tích lịch sử Ngục Đắk Mil,"thôn 9, Xã  Đắk Lao, Huyện Đắk Mil, Đắk Nông","Nằm trên địa phận thôn 9, xã Đắk Lao, huyện Đắk Mil, cách trung tâm thị trấn Đắk Mil khoảng 1km. Đây là nơi giam cầm khắc nghiệt hàng trăm chiến sỹ yêu nước của ta trong kháng chiến chống Pháp giai đoạn 1940 – 1943, trong đó có nhiều chiến sĩ đã vượt ngục thành công và trở thành cán bộ lãnh đạo chủ chốt của Đảng: ông Ybih Aléo – Phó Chủ tịch Mặt trận giải phóng miền Nam Việt Nam, thiếu tướng Lê Nam Thắng – Tư lệnh Quân khu Thủ đô Hà Nội, Phó ban thanh tra Bộ Quốc Phòng; ông Nguyễn Tạo – Bộ trưởng Bộ Lâm nghiệp (nay là Bộ Nông nghiệp và Phát triển nông thôn); thượng tướng Trần Sâm, thượng tướng Trần Văn Quang,…",N/A
Hồ Tây,N/A,"Nằm trọn trong lòng thị trấn Đăk Mil (quận Đức Lập xưa), Hồ Tây như một chiếc gương khổng lồ, sâu thăm thẳm, nước trong xanh ngắt. Là hồ nước bán tự nhiên, được các chủ đồn điền người Pháp tạo lập từ 45-50 năm trước để cung cấp nước cho các đồn điền cà phê, đến năm 1982, huyện Đăk Mil đã đầu tư nâng cấp, mở rộng mặt hồ để hồ Tây có dáng vẻ hôm nay.",N/A
Di tích Đồi 722,"thôn Thổ Hoàng 4, Xã Đắk Sắk, Huyện Đắk Mil, Đắk Nông","Đồi 722 – Đắk Sắk là căn cứ biệt kích của Mỹ - Ngụy thiết lập năm 1965. Đây là nơi diễn ra trận chiến ác liệt của bộ đội chủ lực cùng lực lượng quân sự địa phương tiến công tiêu diệt căn cứ biệt kích vào ngày 22 và 23/8/1968. Đồi 722 ở độ cao 722m so với mặt biển trên địa bàn thôn Thổ Hoàng 4, xã Đắk Sắk, huyện Đắk Mil.",N/A
Tháp Yang Prong,"thôn 5, Xã Ea Rốk, Huyện Ea Súp, Đắk Lắk","Đây là ngọn tháp duy nhất ở Tây Nguyên được xây dựng vào cuối thế kỷ XIII để thờ thần Shiva dưới dạng Mulkhalinga, cầu mong sự nảy nở giống nòi và ấm no hạnh phúc. Kiến trúc tháp là sự kết hợp hài hòa giữa văn hóa Chăm xưa và ảnh hưởng của nền văn hóa nghệ thuật Ấn Độ giáo.",N/A
Thác Thủy Tiên,"thôn Giang Tiến, Xã Ea Puk, Huyện Krông Năng, Đắk Lắk","Thuộc địa phận thôn Giang Tiến, xã Ea Puk, huyện Krông Năng, cách trung tâm thành phố Buôn Ma Thuột khoảng 56 km về hướng Đông",N/A
Thác Dray Nur,"Buôn Kuốp, Xã Dray Sáp, Huyện Krông A Na, Đắk Lắk","Là một trong những biểu tượng, niềm tự hào của người ở Đắk Lăk, thác Dray Nur mang trọn trong mình vẻ đẹp hùng vĩ mà không kém phần mộng mơ của núi rừng Tây Nguyên. Ai đến một lần là nhớ, ai gặp một lần là thương…",N/A
Đình Lạc Giao,"67 Phan Bội Châu, Phường Thống Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk","Là ngôi đình đầu tiên của người Việt trên mảnh đất Tây Nguyên, Đình Lạc Giao tọa lạc tại 67 Phan Bội Châu, phường Thống Nhất, thành phố Buôn Ma Thuột do nhân dân làng Lạc Giao xây dựng vào năm 1928, với mục đích làm nơi sinh hoạt văn hóa, tín ngưỡng và thờ Thần hoàng làng. “Lạc Giao” có ý nghĩa thể hiện mối giao hảo, lời thề nguyền Kinh – Thượng cùng chung lưng đấu cật chống lại sự áp bức, bóc lột của chính quyền thực dân.",N/A
Bảo tàng Đắk Lắk,"02 Y Ngông, Phường Tân Tiến, Thành phố Buôn Ma Thuột, Đắk Lắk","Bảo tàng Đắk Lắk tọa lạc tại thành phố Buôn Ma Thuột, được xây dựng năm 2008 có chiều dài 130m, rộng 65m, diện tích sử dụng 9.200m², với 02 tầng theo phong cách hiện đại kết hợp với truyền thống văn hóa dân tộc Tây Nguyên.",N/A
Làng nghề dệt chiếu Hới,"Làng Hới, Xã Tân Lễ, Huyện Hưng Hà, Thái Bình","Làng nghề dệt chiếu Hới là một trong những làng nghề truyền thống đã có từ rất lâu đời tại làng Hới, xã Tân Lễ, huyện Hưng hà, tỉnh Thái Bình, ngay cả những người dân sống tại đây cũng không biết nghề chiếu xuất hiện ở làng từ bao giờ và Tổ nghề là ai.",N/A
Khu du lịch Cồn Đen,N/A,"Cồn Đen nằm cách đất liền 3km thuộc xã Thái Đô, huyện Thái Thụy, tỉnh Thái Bình. Cách Thị trấn Diêm Điền 15km về phía Nam và cách trung tâm thành phố Thái Bình khoảng 40km về phía Tây. Để đến địa điểm này, du khách có thể dễ dàng đi bằng cả phương tiện công cộng và cá nhân.",N/A
Lễ hội Đình Sàn,"Làng Sàn, Xã Phương Sơn, Huyện Lục Nam, Bắc Giang",,N/A
Thác Háng Tề Chơ,"Bản Đề Chơ, Xã Làng Nhì, Huyện Trạm Tấu, Yên Bái","Thác Háng Tề Chơ nằm ở tận cùng xã Làng Nhì, ranh giới giữa hai tỉnh Yên Bái – Sơn La, ngọn thác Háng Tề Chơ dựa lưng vào rừng Tà Xùa, là một điểm đến đầy bí ẩn và kích thích đối với nhiều phượt thủ.",N/A
Thác Pú Nhu,"Bản Pú Nhu, Xã La Pán Tẩn, Huyện Mù Căng Chải, Yên Bái","Thác Pú Nhu nằm ở bản Pú Nhu, thuộc xã La Pán Tẩn, huyện Mù Cang Chải (Yên Bái). Thác nằm cách trung tâm huyện Mù Cang Chải chừng 10km về phía Tây. Được bắt nguồn từ các con suối trên các cánh rừng đầu nguồn từ Lào Cai, Sơn La đổ về. Thác có độ cao cột nước khoảng 20m được chia thành nhiều bậc. Vào những ngày nắng đẹp, nhìn từ dưới lên các bọt nước bốc hơi khiến cho ta thấy thác như được bao bọc bởi một chiếc khăn voan trắng. Nằm giữa hai vách núi đá cao thẳng đứng, thác Pú Nhu hiện ra như một bức tranh thủy mặc.",N/A
Suối Giàng,N/A,"Yên Bái là tỉnh miền núi được thiên nhiên ban tặng cho nhiều danh lam thắng cảnh. Một trong những nơi có vẻ đẹp tiềm ẩn, phù hợp cho du lịch sinh thái, nghỉ dưỡng, tìm hiểu văn hóa bản địa đã thu hút rất nhiều khách du lịch thập phương, đó chính là địa danh Suối Giàng.",N/A
Thác Pa Sỹ,"làng Kon Tu Rằng, Xã Măng Cành, Huyện Kon Plông, Kon Tum","Thác Pa Sỹ là một trong những thắng cảnh đẹp được thiên nhiên ban tặng cho núi rừng Kon Tum. Khu du lịch sinh thái, văn hóa thác Pa Sỹ được đưa vào khai thác phục vụ du lịch từ năm 2014. Với diện tích toàn khu gần 25 hecta, đây là một trong những điểm du lịch còn gìn giữ vẻ hoang sơ ít dấu ấn nhân tạo, thu hút những du khách thích trải nghiệm, khám phá.",N/A
Núi Chư Hreng,"nằm ở phía nam của thành phố Kon Tum, Xã Chư Hreng, Thành phố Kon Tum, Kon Tum","Dãy núi Chư Hreng nằm ở phía nam của thành phố Kon Tum với tổng chiều dài của dãy núi khoảng 11km, hướng núi chạy dài theo hướng Tây Bắc - Đông Nam mà điểm bắt đầu từ Làng Kon K’Tu xã Đắk Rơ Wa và kết thúc ở Đèo Sao Mai, xã Hòa Bình,thuộc thành phố Kon Tum, nơi tiếp giáp với dãy núi Chư Pao thuộc xã Ia Khươi, huyện Chư Păh, tỉnh Gia Lai. Phần lớn xuyên suốt theo đỉnh của dãy núi là ranh giới hành chính hai tỉnh Gia Lai và Kon Tum. Núi Chư Hreng có điểm cao nhất tương đương 1.152m so với mực nước biển.",N/A
Khu du lịch Đầm Vạc,N/A,"Nằm ở phía nam TP. Vĩnh Yên, khu du lịch Đầm Vạc được ví như “lá phổi xanh” của thành phố và là điểm nhấn của du lịch Vĩnh Phúc.",N/A
Hồ Đăk Ke,"Thuộc khu du lịch sinh thái Măng Đen, Huyện Kon Plông, Kon Tum","Hồ Đak Ke theo tên địa phương gọi là hồ Toong Rơ Pông, thuộc khu du lịch sinh thái Măng Đen. Địa điểm có tổng diện tích khoảng 3ha (lớn nhất trong 7 hồ), thuộc huyện Kon Plông, tỉnh Kon Tum. Từ trung tâm thành phố đi về hướng đông bắc theo quốc lộ 24 khoảng 54km là đến hồ Đak Ke.",N/A
Cầu treo Kon Klor,"Đường Bắc Kạn, Phường Thắng Lợi, Thành phố Kon Tum, Kon Tum","Cầu treo Kon Klor thuộc địa phận làng Kon Klor, thành phố Kon Tum, tỉnh Kon Tum. Là chiếc cầu dây văng to đẹp nhất khu vực Tây Nguyên, nối liền hai bờ của dòng sông Đăk Bla. Cầu có chiều dài 292m, rộng 4,5m, thiết kế và khởi công xây dựng vào ngày 3/2/1993 và hoàn thành ngày 1/5/1994, có màu vàng cam thật nổi bật trong cái nắng vàng oi ả của vùng đất Tây Nguyên.",N/A
Bảo tàng Kon Tum,"659 Nguyễn Huệ, Phường Quyết Thắng, Thành phố Kon Tum, Kon Tum","Nằm ngay vị trí điểm đầu cửa ngõ vào trung tâm thành phố Kon Tum, bên dòng Đăk Bla hiền hòa, lộng gió. Bảo tàng được xây dựng với quy mô và kiến trúc khai thác theo nghệ thuật tạo hình Tây Nguyên, là hình ảnh ngôi nhà Rông đậm đà bản sắc truyền thống của các đồng bào thiểu số Kon Tum.",N/A
Hồ Xạ Hương,N/A,"Ẩn mình giữa thung lũng núi Con Trâu, thuộc xã Minh Quang huyện Tam Đảo, tỉnh Vĩnh Phúc, hồ Xạ Hương chỉ cách trung tâm Hà Nội khoảng 60km nên đây là một địa chỉ rất dễ để có một chuyến du lịch phượt bằng xe máy.",N/A
Làng gốm Hương Canh,"thôn Lò Cang, Thị trấn Hương Canh, Huyện Bình Xuyên, Vĩnh Phúc","Làng gốm Hương Canh nằm cách TP. Vĩnh Yên 12km, cách thủ đô Hà Nội khoảng 42km, tại thôn Lò Cang, thị trấn Hương Canh, huyện Bình Xuyên, tỉnh Vĩnh Phúc, không quá xa, nên rất phù hợp với những chuyến du lịch ngắn ngày hoặc trong ngày.",N/A
Khu du lịch Văn hóa Phương Nam - Nam Phương Linh Từ,N/A,"Khu Du lịch Văn hóa Phương Nam tọa lạc tại xã Long Hưng A, Huyện Lấp Vò, tỉnh Đồng Tháp. Với diện tích lên đến 17 ha, gồm 5 hạng mục chính: Nam phương Linh từ, Đặng tộc Nam phương Linh từ, nhà bảo tàng họ Đặng, nhà bảo tàng Nam bộ và dãy trường lang bao quanh. Trong đó nổi bật nhất là công trình Nam Phương Linh Từ là nơi tôn vinh, tưởng nhớ 125 nhân vật lịch sử có công khai hoang, mở cõi, gìn giữ và làm rạng danh vùng đất phương Nam. Nam Phương Linh từ diện tích 509m², đạt 2 kỷ lục Việt Nam: Đền thờ đầu tiên thờ các vị danh nhân có công trong quá trình khai mở, gìn giữ và làm rạng danh đất phương Nam; Đền thờ có nhiều tượng đồng danh nhân lớn nhất về các nhân vật có công thời khai mở đất phương Nam.",N/A
Khu di tích Gò Tháp,"Ấp 1, Xã Tân Kiều, Huyện Tháp Mười, Đồng Tháp","Khu di tích Gò Tháp nằm trên địa bàn ấp 1, xã Tân Kiều, huyện Tháp Mười, tỉnh Đồng Tháp đã được Bộ Văn hóa Thông tin công nhận là Di tích Quốc gia năm 1989 và năm 2012 được Thủ tướng Chính phủ xếp hạng là Di tích Quốc gia đặc biệt. Bên cạnh giá trị khảo cổ, lịch sử và kiến trúc, các di tích ở Gò Tháp đa số đều là những công trình văn hoá tâm linh thờ các vị anh hùng dân tộc, các vị tiền hiền có công khai hoang, lập ấp, các cơ sở tôn giáo cùng đan xen nhau góp phần xây dựng đời sống văn hóa tinh thần cho nhân dân vùng Đồng Tháp Mười.",N/A
Chùa Phước Kiển (Chùa Lá Sen),N/A,"Chùa Phước Kiển hay còn gọi là chùa Lá Sen, được xây dựng với nền kiến trúc độc đáo mang đậm dấu ấn Phật Giáo. Điểm nhấn nổi bật nhất của chùa chính là những lá sen khổng lồ với đường kính tư 1,5m đến 2n, dày, gân lá to, mép cao đến 4-5 cm giống như một cái nia trông lạ mắt.",N/A
Khu du lịch sinh thái Gáo Giồng,"Ấp 6, Xã Gáo Giồng, Huyện Cao Lãnh, Đồng Tháp","Khu du lịch sinh thái Gáo Giồng thuộc xã Gáo Giồng, huyện Cao Lãnh, là vùng đất điển hình của hệ sinh thái Đồng Tháp Mười, nước và đất bị nhiễm phèn nặng. Bằng sức lao động của con người, Gáo Giồng đã trở thành rừng phòng hộ – là lá phổi xanh của vùng Đồng Tháp Mười, tạo đất sống của nhiều loài chim, cá và thực vật sinh sôi, nảy nở, với diện tích 1.670ha, trong đó có 250ha rừng nguyên sinh với những bưng, trấp, lau sậy, sen, súng, cà na, gáo,… và sân chim hơn 36ha, đa dạng về chủng loại và đặc biệt là loài nhan điển quý hiếm được đưa vào sách đỏ.",N/A
Khu du lịch Cánh đồng Hoa Hồng Sa Đéc,"Đường Cao Thắng, khóm Tân Hiệp, Phường Tân Quy Đông, Thành phố Sa Đéc, Đồng Tháp","Bạn dự định sẽ đi tham quan du lịch ở đâu vào những ngày cuối tuần, theo chúng tôi thì nên vi vu đến thành Phố Sa Đéc (tỉnh Đồng Tháp) ngắm hoa hồng, xem cá lóc bay vô cùng thú vị. Thành phố Sa Đéc được mệnh danh là Thành phố hoa ở miền Tây – nơi đây vừa mới đưa vào phục vụ khu du lịch cánh đồng hoa hồng Sa Đéc thuộc khóm Tân Hiệp, phường Tân Quy Đông.",N/A
Nhà cổ Huỳnh Thủy Lê,"255A Nguyễn Huệ, Phường 2, Thành phố Sa Đéc, Đồng Tháp","Ngôi nhà vốn là nơi ở của gia đình ông Huỳnh Thủy Lê – là người tình đầu tiên của nữ văn sĩ người Pháp, Marguerite Duras. Mối tình này về sau trở thành hồi ký để bà viết nên tiểu thuyết nổi tiếng Người tình (The Lover) năm 1984. Tác phẩm này được đạo diễn người Pháp Jean-Jaues Annaud chuyển thể thành phim L’Amant năm 1992.",N/A
Vườn cò Hải Lựu,"thôn Dừa Lễ, Xã Hải Lựu, Huyện Sông Lô, Vĩnh Phúc","Vườn cò Hải Lựu được coi là một trong 5 khu rừng sinh thái nổi tiếng tại Vĩnh Phúc. Không rộng lớn như vườn quốc gia Tam Đảo, không quá hoang sơ như Hồ Đại Lải… Vườn cò Hải Lựu mang một nét rất riêng, rất thơ mộng và rất đỗi bình yên. Đến với vườn cò Hải Lựu du khách sẽ được đắm chìm trong khung cảnh thiên nhiên xinh đẹp.",N/A
Thác Phú Cường,"QL25, Xã Dun, Huyện Chư Sê, Gia Lai","Nằm trong khu vực mỏ đá Phú Cường, thuộc địa phận xã Dun, huyện Chư Sê, tỉnh Gia Lai; cách thị trấn Chư Sê khoảng 3 km và cách TP Pleiku khoảng 45 km về phía Đông Nam.",N/A
Thác Lệ Kim,N/A,"Lệ Kim là tên một thác nước trên suối Blang-ranh giới giữa xã Ia Tô (xã B14), huyện Ia Grai và xã Ia Dơk (xã B9), huyện Đức Cơ.",N/A
Thác Chín Tầng,N/A,"Thác chín tầng thuộc xã Ia Bă, cách trung tâm huyện Ia Grai khoảng 16 km, cách TP. Pleiku khoảng 20 km đi theo tỉnh lộ 664 – Quốc lộ 14C.",N/A
Thác Bàu Cạn,"Đội 3, Xã Bàu Cạn, Huyện Chư Prông, Gia Lai","Thác Bàu Cạn thuộc Đội 3, xã Bàu Cạn, huyện Chư Prông, cách thành phố Pleiku khoảng 20km",N/A
Núi Hàm Rồng,"Nằm trên Quốc lộ 14B, Thành phố Pleiku, Gia Lai","Nếu bạn là người thích khám phá những vẻ đẹp hùng vĩ, thì núi Hàm Rồng là một địa điểm không thể bỏ qua. Với bất cứ du khách nào từng đến với Gia Lai, cụ thể là núi Hàm Rồng thì đều có một cảm nhận chung chính là vẻ đẹp núi Hàm Rồng là sự hòa quyện giữa vẻ đẹp hùng vĩ và vẻ bình yên, có chút ma mị của núi rừng. Đặc biệt, khi đứng trên đỉnh núi, bạn có thể nhìn được toàn cảnh thành phố từ trên cao. Những ruộng cafe bao la rộng lớn, những đồi chè xanh mướt... tất cả hiện lên theo cách tuyệt vời nhất.",N/A
Nhà thờ Bác Trạch,N/A,"Nhà thờ Bác Trạch hay còn gọi là Đền thánh đức mẹ mân côi nằm ở xã Vân Trường huyện Tiền Hải, Thái Bình. Đây là ngôi thánh đường mang vẻ đẹp nguy nga, lộng lẫy và vô cùng tráng lệ. Bất cứ ai ghé đến đền phải ngỡ ngàng và thốt lên đầy trầm trồ bởi sự tráng lệ của nhà thờ này.",N/A
Làng nhà sàn Thái Hải,"Xóm Mỹ Hào, Xã Thịnh Đức, Thành phố Thái Nguyên, Thái Nguyên","Làng nhà sàn Thái Hải thuộc xóm Mỹ Hào, xã Thịnh Đức, TP. Thái Nguyên. Đây là 1 ốc đảo nằm giữa 2 thành phố lớn của Thái Nguyên, chỉ cách trung tâm TP. Thái Nguyên và trung tâm TP. Sông Công khoảng 10km, cách Trại Ngựa Bá Vân 3km.",N/A
Trại ngựa Bá Vân,N/A,"Thái Nguyên vốn nổi tiếng với những nương chè bát ngát hay hồ Núi Cốc tuyệt đẹp gắn liền với câu chuyện tình yêu của đôi trai gái. Nếu muốn tìm một trải nghiệm mới ở ""đất chè"" thì hiện tại đến Thái Nguyên, bạn còn có thể tìm đến một địa điểm mới: trại ngựa Bá Vân. Trại ngựa Bá Vân thuộc xã Bình Sơn, thành phố Sông Công, tỉnh Thái Nguyên.",N/A
Hồ Vai Miếu,N/A,"Trên địa bàn xã Ký Phú, huyện Đại Từ, tỉnh Thái Nguyên, hồ Vai Miếu hiện lên như một bức tranh thiên nhiên đẹp thơ mộng, hứa hẹn là một địa điểm du lịch đầy tiềm năng của tỉnh Thái Nguyên.",N/A
Thác Khuôn Tát,"Xóm Tỉn Keo, Xã Phú Đình, Huyện Định Hóa, Thái Nguyên","Thác Khuôn Tát là một thắng cảnh của Thái Nguyên. Thác nằm trên địa phận xóm Tỉn Keo, xã Phú Đình, huyện Định Hóa và cách trung tâm thành phố Thái Nguyên gần 70km. Thác Khuôn Tát thuộc khu vực di tích lịch sử ATK Định Hóa, là trung tâm căn cứ địa Việt Bắc và đại bản doanh lãnh đạo cuộc kháng chiến trường kỳ do chủ tịch Hồ Chí Minh lãnh đạo trong chiến tranh chống thực dân Pháp (1946-1954). Thác Khuôn Tát được xếp hạng danh thắng cấp quốc gia vào năm 2002.",N/A
